,MelS,Hyd,SimA,Psd,Imm,Vir,Stv,Trop,Wplus,Eqx,Paul,Ins,Merc,Fun,Pallid,WW,Eug,Zap,Gib,Ser,Rob,Gau,Bir,PerO,Neb,Pro,Quad,AnB
MelS,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Hyd,0,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SimA,0,0,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Psd,0,0,0,,*,*,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Imm,0,0,0,*,,*,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Vir,0,0,0,*,*,,*,1,*,1,1,1,1,*,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Stv,0,0,0,0,1,*,,*,1,1,1,1,*,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Trop,0,0,0,0,0,0,*,,*,*,*,*,*,*,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Wplus,0,0,0,0,0,*,0,*,,*,*,*,*,1,1,*,1,1,1,1,1,1,1,1,1,1,1,1
Eqx,0,0,0,0,0,0,0,*,*,,*,*,*,*,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Paul,0,0,0,0,0,0,0,*,*,*,,*,*,*,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Ins,0,0,0,0,0,0,0,*,*,*,*,,1,*,*,1,*,1,1,1,1,1,1,*,1,1,1,1
Merc,0,0,0,0,0,0,*,*,*,*,*,0,,*,*,1,1,1,1,*,*,1,1,1,1,1,1,1
Fun,0,0,0,0,0,*,0,*,0,*,*,*,*,,*,1,1,1,*,*,1,*,1,1,1,*,1,1
Pallid,0,0,0,0,0,0,0,0,0,0,0,*,*,*,,1,1,1,*,1,*,1,1,1,1,1,1,1
WW,0,0,0,0,0,0,0,0,*,0,0,0,0,0,0,,0,*,*,1,1,1,1,1,1,1,1,1
Eug,0,0,0,0,0,0,0,0,0,0,0,*,0,0,0,1,,1,*,1,1,*,1,0,1,1,1,1
Zap,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,0,,1,1,*,1,1,1,1,1,1,1
Gib,0,0,0,0,0,0,0,0,0,0,0,0,0,*,*,*,*,0,,*,1,*,*,1,1,0,*,1
Ser,0,0,0,0,0,0,0,0,0,0,0,0,*,*,0,0,0,0,*,,*,*,*,1,1,1,1,1
Rob,0,0,0,0,0,0,0,0,0,0,0,0,*,0,*,0,0,*,0,*,,*,*,*,*,1,1,1
Gau,0,0,0,0,0,0,0,0,0,0,0,0,0,*,0,0,*,0,*,*,*,,*,*,*,*,1,1
Bir,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,*,*,*,,1,*,1,1,1
PerO,0,0,0,0,0,0,0,0,0,0,0,*,0,0,0,0,1,0,0,0,*,*,0,,*,1,1,1
Neb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,*,*,*,,1,*,1
Pro,0,0,0,0,0,0,0,0,0,0,0,0,0,*,0,0,0,0,1,0,0,*,0,0,0,,1,1
Quad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,0,0,0,0,0,*,0,,*
AnB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,